NE	2505	Farmer	1.001	1.001	1	0.999	0.997	0.994	0.991	0.988	0.984	0.98	0.975	0.967	0.959	0.95	0.937
NE	2505/A	Farmer	1.005	1.003	1.001	0.997	0.995	0.99	0.985	0.982	0.978	0.974	0.969	0.962	0.955	0.947	0.936
NE	2505/3,3A	Farmer	1.005	1.004	1.002	1	0.998	0.995	0.993	0.991	0.989	0.986	0.982	0.975	0.969	0.961	0.949
NE	2505/3,3B	Farmer	1.006	1.004	1.001	0.999	0.996	0.991	0.987	0.984	0.98	0.976	0.971	0.964	0.957	0.95	0.938
NE	2571	Farmer	1.005	1.004	1.002	1	0.998	0.995	0.993	0.991	0.989	0.986	0.982	0.975	0.969	0.961	0.949
NE	2581	Farmer	1.005	1.003	1.001	0.998	0.995	0.991	0.986	0.983	0.98	0.975	0.97	0.963	0.956	0.949	0.937
NE	2561/2611	Sec.Std	1.006	1.004	1.001	0.999	0.998	0.994	0.992	0.99	0.988	0.985	0.982	0.975	0.969	0.961	0.949
PTW	23323	micro	1.003	1.003	1	0.999	0.997	0.993	0.99	0.987	0.984	0.98	0.975	0.967	0.96	0.953	0.941
PTW	23331	rigid	1.004	1.003	1	0.999	0.997	0.993	0.99	0.988	0.985	0.982	0.978	0.971	0.964	0.956	0.945
PTW	23332	rigid	1.004	1.003	1.001	0.999	0.997	0.994	0.99	0.988	0.984	0.98	0.976	0.968	0.961	0.954	0.943
PTW	23333		1.004	1.003	1.001	0.999	0.997	0.994	0.99	0.988	0.985	0.981	0.976	0.969	0.963	0.955	0.943
PTW	30001/30010	Farmer	1.004	1.003	1.001	0.999	0.997	0.994	0.99	0.988	0.985	0.981	0.976	0.969	0.962	0.955	0.943
PTW	30002/30011	Farmer	1.006	1.004	1.001	0.999	0.997	0.994	0.992	0.99	0.987	0.984	0.98	0.973	0.967	0.959	0.948
PTW	30004/30012	Farmer	1.006	1.005	1.002	1	0.999	0.996	0.994	0.992	0.989	0.986	0.982	0.976	0.969	0.962	0.95
PTW	30006/30013	Farmer	1.002	1.002	1	0.999	0.997	0.994	0.99	0.988	0.984	0.98	0.975	0.968	0.96	0.952	0.94
PTW	31002	flexible	1.003	1.002	1	0.999	0.997	0.994	0.99	0.988	0.984	0.98	0.975	0.968	0.96	0.952	0.94
PTW	31003	flexible	1.003	1.002	1	0.999	0.997	0.994	0.99	0.988	0.984	0.98	0.975	0.968	0.96	0.952	0.94
PTW	31006	PinPoint	1.004	1.003	1.001	0.999	0.998	0.995	0.992	0.989	0.985	0.980	0.974	0.966	0.959	0.951	0.940
PTW	31014	PinPoint	1.004	1.003	1.001	0.999	0.998	0.995	0.992	0.989	0.985	0.980	0.975	0.967	0.959	0.952	0.941
SNC	100700-0	Farmer	1.005	1.004	1.001	0.999	0.998	0.995	0.992	0.989	0.986	0.981	0.976	0.969	0.962	0.954	0.943
SNC	100700-1	Farmer	1.007	1.006	1.003	1.001	0.999	0.997	0.995	0.993	0.990	0.986	0.983	0.976	0.969	0.961	0.951
SNC	100730	Farmer	1.004	1.003	1.001	0.999	0.997	0.993	0.99	0.988	0.985	0.981	0.977	0.97	0.963	0.956	0.944
SNC	100740	Farmer	1.006	1.005	1.002	1	0.999	0.996	0.994	0.992	0.99	0.987	0.983	0.977	0.971	0.963	0.951
Victoreen	Radocon III 550		1.005	1.004	1.001	0.998	0.996	0.993	0.989	0.986	0.983	0.979	0.975	0.968	0.961	0.954	0.943
Victoreen	Radocon II 555		1.005	1.003	1	0.997	0.995	0.99	0.986	0.983	0.979	0.975	0.97	0.963	0.956	0.949	0.938
Victoreen	30-348		1.004	1.003	1	0.998	0.996	0.992	0.989	0.986	0.982	0.978	0.973	0.966	0.959	0.951	0.94
Victoreen	30-351		1.004	1.002	1	0.998	0.996	0.992	0.989	0.986	0.983	0.979	0.974	0.967	0.96	0.952	0.941
Victoreen	30-349		1.003	1.002	1	0.998	0.996	0.992	0.989	0.986	0.983	0.98	0.976	0.969	0.962	0.954	0.942
Victoreen	30-361		1.004	1.003	1	0.998	0.996	0.992	0.989	0.986	0.983	0.979	0.974	0.967	0.96	0.953	0.942
Scdx Wellhöfer	CC01		1.002	1.002	1.002	1.001	1.000	0.999	0.996	0.994	0.991	0.986	0.981	0.972	0.964	0.956	0.944
Scdx Wellhöfer	CC04/IC04	1.001	1.001	1.001	1.000	0.999	0.997	0.995	0.992	0.989	0.984	0.979	0.970	0.962	0.953	0.941
Scdx Wellhöfer	CC08/IC05/IC06	1.001	1.001	1.001	1.000	0.999	0.997	0.995	0.993	0.989	0.985	0.980	0.972	0.964	0.955	0.943
Scdx Wellhöfer	CC13/IC10/IC15	1.001	1.001	1.001	1.000	0.999	0.997	0.995	0.993	0.989	0.985	0.980	0.972	0.964	0.955	0.943
Scdx Wellhöfer	CC25/IC25	1.001	1.001	1.001	1.000	0.999	0.997	0.995	0.993	0.989	0.985	0.980	0.972	0.964	0.955	0.943
Scdx Wellhöfer	FC23-C/IC28	Farmer shortened	1.001	1.001	1.001	1.000	0.999	0.997	0.995	0.993	0.990	0.985	0.980	0.972	0.964	0.955	0.943
Scdx Wellhöfer	FC65-P/IC69	Farmer	1.003	1.002	1.001	0.999	0.998	0.995	0.993	0.990	0.986	0.981	0.976	0.968	0.960	0.952	0.940
Scdx Wellhöfer	FC65-G/IC70	Farmer	1.005	1.004	1.002	1.000	0.998	0.997	0.995	0.992	0.989	0.985	0.981	0.973	0.966	0.958	0.947
